Slno,Videotitles,Published_date,Views,Likes,Comments,Month
184,Conditional Formatting in Excel | Excel Tutorials for Beginners,11-01-2022,163568,3584,98,Jan
185,150k Subscriber Livestream!!,10-01-2022,3489,159,7,Jan
186,How To Become A Data Analyst In 2022,04-01-2022,497427,22078,641,Jan
187,XLOOKUP in Excel | Excel Tutorials for Beginners,28-12-2021,193190,4274,166,Dec
188,Formulas in Excel | Excel Tutorials for Beginners,21-12-2021,313470,7061,376,Dec
189,Pivot Tables in Excel | Excel Tutorials for Beginners,14-12-2021,617372,12773,343,Dec
190,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,07-12-2021,263413,5303,391,Dec
191,How to use Joins in Tableau | Tableau Tutorials for Beginners,23-11-2021,121078,3359,61,Nov
192,Top 5 Major Red Flags in Job Descriptions,18-11-2021,18257,960,72,Nov
193,Truth About My Job (Song) - As a Data Analyst,08-11-2021,10718,886,107,Nov
194,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,26-10-2021,11178,342,34,Oct
195,Choosing a Domain to Make More Money,19-10-2021,19426,949,81,Oct
196,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,05-10-2021,159190,3652,174,Oct
197,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,28-09-2021,204942,4452,86,Sep
198,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,21-09-2021,651356,15198,374,Sep
199,How NOT to Become a Data Analyst (Funny?),07-09-2021,17318,713,114,Sep
200,100k Subscriber Play Button Unboxing,31-08-2021,2661,241,96,Aug
201,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,24-08-2021,257470,5919,614,Aug
202,Interviewing with PwC for a Senior Data Analyst Position,17-08-2021,93073,2490,159,Aug
203,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,13-08-2021,4742,191,26,Aug
204,I Am No Longer a Data Analyst | Turning Down PwC | New Job,11-08-2021,143160,4415,489,Aug
205,When To Start Applying To Your First Data Analyst Job,21-07-2021,80932,4346,235,Jul
206,Why You Need to Stop Taking Courses (From an Ex-Course Addict),13-07-2021,130486,5630,364,Jul
207,How to Create a Portfolio Website for FREE,29-06-2021,558725,12967,724,Jun
208,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,22-06-2021,165575,2961,486,Jun
209,How To Get a Data Analyst Job (with No Experience),08-06-2021,463245,20146,601,Jun
210,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,03-06-2021,6324,239,108,Jun
211,Favorite Tableau and Power BI Courses on Udemy,01-06-2021,31703,855,86,Jun
212,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,25-05-2021,405859,7846,858,May
213,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,18-05-2021,362369,5830,448,May
214,Asking My Family What I Do For a Living,11-05-2021,3737,196,55,May
215,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,04-05-2021,1883741,33251,4086,May
216,Advanced SQL Tutorial | Subqueries,20-04-2021,362840,8105,215,Apr
217,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,15-04-2021,22218,825,149,Apr
218,Google vs IBM Data Analytics Certificates | Which is Better?,13-04-2021,326923,11537,606,Apr
219,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,06-04-2021,26352,928,85,Apr
220,Laptops for Data Analysts |  Specifications + Recommendations,30-03-2021,180048,3981,307,Mar
221,Best Machine Learning Courses on Coursera,23-03-2021,56813,1732,83,Mar
222,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,18-03-2021,16286,476,120,Mar
223,Advanced SQL Tutorial | Stored Procedures + Use Cases,16-03-2021,404794,7305,188,Mar
224,Google Data Analytics Professional Certificate | It's Finally Here!,12-03-2021,362775,11108,1178,Mar
225,Google Data Analytics Certificate | Coming Out Soon!,04-03-2021,51723,2368,314,Mar
226,Reviewing Your Data Analyst Resumes | Part 2,02-03-2021,23179,564,78,Mar
227,Best Course to Learn Statistics for Data Analysis,25-02-2021,104575,2678,89,Feb
228,DataQuest Review | Is it Worth it?,23-02-2021,23993,416,45,Feb
229,R vs Python | Which is Better for Data Analysis?,16-02-2021,221683,4964,401,Feb
230,Advanced SQL Tutorial | String Functions + Use Cases,04-02-2021,172714,4379,150,Feb
231,Advanced SQL Tutorial | Temp Tables,02-02-2021,246720,5546,140,Feb
232,IBM Data Analyst Certificate Study Session,30-01-2021,5220,173,22,Jan
233,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,26-01-2021,120858,3072,302,Jan
234,DataCamp Review | Is it Worth it?,21-01-2021,171877,3618,257,Jan
235,Best Python Course for Data Analysts,19-01-2021,52158,1356,116,Jan
236,Top 5 Data Analyst Skills,12-01-2021,30556,1302,172,Jan
237,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,07-01-2021,14980,485,147,Jan
238,Top 5 Data Analyst Interview Mistakes,05-01-2021,80342,2057,73,Jan
239,2020 Year End Review + Upcoming Giveaway Details,31-12-2020,1566,140,101,Dec
240,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,24-12-2020,41472,1191,138,Dec
241,Solving Medium Level SQL LeetCode Questions | Part 2/3,22-12-2020,11185,242,32,Dec
242,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,17-12-2020,46613,1549,207,Dec
243,Data Engineer vs Data Analyst | Which Is Right For You?,15-12-2020,82392,2724,145,Dec
244,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,10-12-2020,2843,93,53,Dec
245,Advanced SQL Tutorial | CTE (Common Table Expression),08-12-2020,332125,5374,185,Dec
246,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",03-12-2020,23036,739,189,Dec
247,Intermediate SQL Tutorial | Partition By,01-12-2020,267890,6239,198,Dec
248,Data Analyst Q/A LIVE #5 | AMA,28-11-2020,4844,131,18,Nov
249,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,25-11-2020,24482,878,162,Nov
250,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,19-11-2020,14408,567,205,Nov
251,Top 3 Tips on Using LinkedIn to Land a Job,17-11-2020,280121,10477,229,Nov
252,What is No Code Analytics? | Alex The Analyst Show | Episode 10,12-11-2020,3802,119,81,Nov
253,Solving LeetCode SQL Interview Questions | Part 1/3,10-11-2020,24747,650,64,Nov
254,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,05-11-2020,13087,379,117,Nov
255,Data Analyst Skills Path | What Skills You NEED to Know,03-11-2020,76838,3604,275,Nov
256,Data Analyst Q&A LIVE #4,30-10-2020,3486,105,25,Oct
257,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,27-10-2020,13962,558,222,Oct
258,Top 10 Udemy Courses for Data Analysts,22-10-2020,163656,4712,282,Oct
259,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,20-10-2020,178798,6216,988,Oct
260,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,15-10-2020,4685,174,73,Oct
261,Top 10 Coursera Courses for Data Analysts,13-10-2020,107677,4702,285,Oct
262,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,08-10-2020,7278,362,176,Oct
263,Data Analyst Expectations vs Reality,06-10-2020,75680,2801,188,Oct
264,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,01-10-2020,7225,252,161,Oct
265,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,24-09-2020,45198,1511,716,Sep
266,Top 5 Reasons You'll Be a Good Data Analyst,22-09-2020,14614,611,82,Sep
267,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,10-09-2020,415829,12166,3820,Sep
268,Top 5 Reasons Data Analytics is a Good Career Choice,08-09-2020,44331,1318,73,Sep
269,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,03-09-2020,20712,689,84,Sep
270,Top 5 Reasons Not to Lie on Your Resume,01-09-2020,11993,205,121,Sep
271,Live Data Analyst Q&A #3,29-08-2020,2932,99,43,Aug
272,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,20-08-2020,130457,4658,273,Aug
273,Top 5 Reasons Not to Become a Data Analyst,12-08-2020,922115,19777,1053,Aug
274,Data Analyst Bootcamps | Are They Worth It?,05-08-2020,34146,576,94,Aug
275,What Does a Data Analyst Actually Do?,29-07-2020,928471,18260,477,Jul
276,Data Analyst Question and Answer | Answering Your YouTube Questions,22-07-2020,4511,171,67,Jul
277,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,15-07-2020,54241,1378,158,Jul
278,Data Analyst vs Business Analyst | Which Is Right For You?,03-07-2020,753393,19195,581,Jul
279,Best Free Online Courses for Data Analysts,23-06-2020,56990,2752,95,Jun
280,Best Online Courses for Data Analysts,17-06-2020,182681,9404,422,Jun
281,Data Scientist vs Data Analyst | Which Is Right For You?,10-06-2020,779154,24155,862,Jun
